------------------------------------------------------------------------------------
Date: 12/7/2024 -- 23:48:12 (uptime: 0d, 00h 00m 08s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
ips.accepted                                  | Total                     | 196
ips.blocked                                   | Total                     | 36
ips.drop_reason.flow_drop                     | Total                     | 31
ips.drop_reason.applayer_error                | Total                     | 2
ips.drop_reason.stream_midstream              | Total                     | 3
decoder.pkts                                  | Total                     | 233
decoder.bytes                                 | Total                     | 855080
decoder.ipv4                                  | Total                     | 228
decoder.ipv6                                  | Total                     | 5
decoder.tcp                                   | Total                     | 193
tcp.syn                                       | Total                     | 20
tcp.synack                                    | Total                     | 20
decoder.udp                                   | Total                     | 38
decoder.avg_pkt_size                          | Total                     | 3669
decoder.max_pkt_size                          | Total                     | 41128
tcp.active_sessions                           | Total                     | 20
flow.total                                    | Total                     | 32
flow.active                                   | Total                     | 32
flow.tcp                                      | Total                     | 23
flow.udp                                      | Total                     | 9
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 2
tcp.sessions                                  | Total                     | 20
tcp.ssn_from_pool                             | Total                     | 20
tcp.segment_from_pool                         | Total                     | 20
app_layer.flow.quic                           | Total                     | 3
app_layer.tx.quic                             | Total                     | 4
app_layer.error.quic.parser                   | Total                     | 2
app_layer.flow.dns_udp                        | Total                     | 2
app_layer.tx.dns_udp                          | Total                     | 4
app_layer.flow.failed_udp                     | Total                     | 4
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9200
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 11
flow.mgr.flows_notimeout                      | Total                     | 11
memcap_pressure                               | Total                     | 7
memcap_pressure_max                           | Total                     | 7
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 2035712
flow.memuse                                   | Total                     | 6834304
------------------------------------------------------------------------------------
Date: 12/7/2024 -- 23:48:20 (uptime: 0d, 00h 00m 16s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
ips.accepted                                  | Total                     | 763
ips.blocked                                   | Total                     | 197
ips.drop_reason.flow_drop                     | Total                     | 181
ips.drop_reason.applayer_error                | Total                     | 11
ips.drop_reason.stream_midstream              | Total                     | 5
decoder.pkts                                  | Total                     | 961
decoder.bytes                                 | Total                     | 2114205
decoder.ipv4                                  | Total                     | 955
decoder.ipv6                                  | Total                     | 6
decoder.tcp                                   | Total                     | 659
tcp.syn                                       | Total                     | 48
tcp.synack                                    | Total                     | 48
decoder.udp                                   | Total                     | 300
decoder.avg_pkt_size                          | Total                     | 2200
decoder.max_pkt_size                          | Total                     | 41128
tcp.active_sessions                           | Total                     | 48
flow.total                                    | Total                     | 86
flow.active                                   | Total                     | 86
flow.tcp                                      | Total                     | 53
flow.udp                                      | Total                     | 33
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 2
tcp.sessions                                  | Total                     | 48
tcp.ssn_from_pool                             | Total                     | 48
tcp.segment_from_cache                        | Total                     | 106
tcp.segment_from_pool                         | Total                     | 81
app_layer.flow.http                           | Total                     | 1
app_layer.tx.http                             | Total                     | 1
app_layer.flow.tls                            | Total                     | 4
app_layer.flow.quic                           | Total                     | 13
app_layer.tx.quic                             | Total                     | 32
app_layer.error.quic.parser                   | Total                     | 11
app_layer.flow.dns_udp                        | Total                     | 12
app_layer.tx.dns_udp                          | Total                     | 24
app_layer.flow.failed_udp                     | Total                     | 8
flow.mgr.full_hash_pass                       | Total                     | 1
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9200
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 59
flow.mgr.flows_notimeout                      | Total                     | 59
memcap_pressure                               | Total                     | 7
memcap_pressure_max                           | Total                     | 7
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 3176448
http.memuse                                   | Total                     | 112
flow.memuse                                   | Total                     | 6834304
------------------------------------------------------------------------------------
Date: 12/7/2024 -- 23:48:28 (uptime: 0d, 00h 00m 24s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
ips.accepted                                  | Total                     | 1601
ips.blocked                                   | Total                     | 343
ips.drop_reason.flow_drop                     | Total                     | 316
ips.drop_reason.applayer_error                | Total                     | 18
ips.drop_reason.stream_midstream              | Total                     | 9
decoder.pkts                                  | Total                     | 1945
decoder.bytes                                 | Total                     | 3470024
decoder.ipv4                                  | Total                     | 1938
decoder.ipv6                                  | Total                     | 7
decoder.tcp                                   | Total                     | 1235
tcp.syn                                       | Total                     | 73
tcp.synack                                    | Total                     | 73
tcp.rst                                       | Total                     | 3
decoder.udp                                   | Total                     | 706
decoder.avg_pkt_size                          | Total                     | 1784
decoder.max_pkt_size                          | Total                     | 41128
tcp.active_sessions                           | Total                     | 73
flow.total                                    | Total                     | 132
flow.active                                   | Total                     | 132
flow.tcp                                      | Total                     | 82
flow.udp                                      | Total                     | 50
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 4
tcp.sessions                                  | Total                     | 73
tcp.ssn_from_pool                             | Total                     | 73
tcp.segment_from_cache                        | Total                     | 297
tcp.segment_from_pool                         | Total                     | 118
app_layer.flow.http                           | Total                     | 1
app_layer.tx.http                             | Total                     | 1
app_layer.flow.tls                            | Total                     | 9
app_layer.flow.quic                           | Total                     | 20
app_layer.tx.quic                             | Total                     | 51
app_layer.error.quic.parser                   | Total                     | 18
app_layer.flow.dns_udp                        | Total                     | 20
app_layer.tx.dns_udp                          | Total                     | 40
app_layer.flow.failed_udp                     | Total                     | 10
flow.mgr.full_hash_pass                       | Total                     | 2
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9200
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 98
flow.mgr.flows_notimeout                      | Total                     | 98
memcap_pressure                               | Total                     | 7
memcap_pressure_max                           | Total                     | 7
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 3895296
http.memuse                                   | Total                     | 112
flow.memuse                                   | Total                     | 6834304
------------------------------------------------------------------------------------
Date: 12/7/2024 -- 23:48:36 (uptime: 0d, 00h 00m 32s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
ips.accepted                                  | Total                     | 4078
ips.blocked                                   | Total                     | 592
ips.drop_reason.flow_drop                     | Total                     | 551
ips.drop_reason.applayer_error                | Total                     | 32
ips.drop_reason.stream_midstream              | Total                     | 9
decoder.pkts                                  | Total                     | 4671
decoder.bytes                                 | Total                     | 6273371
decoder.ipv4                                  | Total                     | 4664
decoder.ipv6                                  | Total                     | 7
decoder.tcp                                   | Total                     | 3353
tcp.syn                                       | Total                     | 102
tcp.synack                                    | Total                     | 100
tcp.rst                                       | Total                     | 3
decoder.udp                                   | Total                     | 1310
decoder.avg_pkt_size                          | Total                     | 1343
decoder.max_pkt_size                          | Total                     | 41128
tcp.active_sessions                           | Total                     | 102
flow.total                                    | Total                     | 196
flow.active                                   | Total                     | 196
flow.tcp                                      | Total                     | 111
flow.udp                                      | Total                     | 85
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 8
tcp.sessions                                  | Total                     | 102
tcp.ssn_from_pool                             | Total                     | 102
tcp.segment_from_cache                        | Total                     | 1328
tcp.segment_from_pool                         | Total                     | 295
app_layer.flow.http                           | Total                     | 1
app_layer.tx.http                             | Total                     | 1
app_layer.flow.tls                            | Total                     | 18
app_layer.flow.quic                           | Total                     | 34
app_layer.tx.quic                             | Total                     | 89
app_layer.error.quic.parser                   | Total                     | 32
app_layer.flow.dns_udp                        | Total                     | 34
app_layer.tx.dns_udp                          | Total                     | 68
app_layer.flow.failed_udp                     | Total                     | 17
flow.mgr.full_hash_pass                       | Total                     | 2
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9200
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 171
flow.mgr.flows_notimeout                      | Total                     | 171
memcap_pressure                               | Total                     | 7
memcap_pressure_max                           | Total                     | 7
tcp.memuse                                    | Total                     | 4849704
tcp.reassembly_memuse                         | Total                     | 5074988
http.memuse                                   | Total                     | 112
flow.memuse                                   | Total                     | 6834304
------------------------------------------------------------------------------------
Date: 12/7/2024 -- 23:48:44 (uptime: 0d, 00h 00m 40s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
ips.accepted                                  | Total                     | 5028
ips.blocked                                   | Total                     | 716
ips.drop_reason.flow_drop                     | Total                     | 668
ips.drop_reason.applayer_error                | Total                     | 37
ips.drop_reason.stream_error                  | Total                     | 1
ips.drop_reason.stream_midstream              | Total                     | 10
decoder.pkts                                  | Total                     | 5745
decoder.bytes                                 | Total                     | 7867206
decoder.ipv4                                  | Total                     | 5738
decoder.ipv6                                  | Total                     | 7
decoder.tcp                                   | Total                     | 4172
tcp.syn                                       | Total                     | 136
tcp.synack                                    | Total                     | 136
tcp.rst                                       | Total                     | 5
decoder.udp                                   | Total                     | 1563
decoder.icmpv4                                | Total                     | 2
decoder.avg_pkt_size                          | Total                     | 1369
decoder.max_pkt_size                          | Total                     | 41128
tcp.active_sessions                           | Total                     | 136
flow.total                                    | Total                     | 250
flow.active                                   | Total                     | 250
flow.tcp                                      | Total                     | 146
flow.udp                                      | Total                     | 104
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 8
tcp.sessions                                  | Total                     | 136
tcp.ssn_from_pool                             | Total                     | 136
tcp.segment_from_cache                        | Total                     | 1625
tcp.segment_from_pool                         | Total                     | 314
tcp.stream_depth_reached                      | Total                     | 1
app_layer.flow.http                           | Total                     | 1
app_layer.tx.http                             | Total                     | 1
