[18364 - Suricata-Main] 2024-12-07 23:47:23 Notice: suricata: This is Suricata version 7.0.7 RELEASE running in SYSTEM mode
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: cpu: CPUs/cores online: 8
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: exception-policy: master exception-policy set to: auto
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: win32-syscall: Found a global MTU of 1500
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: coredump-config: Configuring core dump is not yet supported on Windows.
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: logopenfile: fast output device (regular) initialized: fast.log
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: logopenfile: eve-log output device (regular) initialized: eve.json
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: log-pcap: Using log dir C:\\Program Files\\Suricata\\log
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: log-pcap: Selected pcap-log compression method: none
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: log-pcap: Selected pcap-log conditional logging: all
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: log-pcap: using normal logging
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: logopenfile: stats output device (regular) initialized: stats.log
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/00
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/01
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/02
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/03
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/04
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/05
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/06
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/07
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/08
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/09
[18364 - Suricata-Main] 2024-12-07 23:47:23 Info: output-filestore: Filestore (v2) creating directory C:\\Program Files\\Suricata\\log/filestore/0a
